# tri_id  lon  lat  e_ee  e_en  e_nn  e1  e2  azimuth  dilatation  max_shear  second_invariant  e_ee_std  e_en_std  e_nn_std  e1_std  e2_std  dilatation_std  max_shear_std
  145   104.84067   23.55267         5.915         4.241        -4.729         7.399        -6.212     70.72         1.186         6.805         9.661       6.279       5.848       4.799       5.568       6.671       7.940       4.690
  146   104.35400   22.94533         4.816         1.919        -7.104         5.118        -7.406     81.08        -2.288         6.262         9.002       5.435       4.304      11.093       5.176      10.360      12.357       5.374
  147   103.97733   22.95567         1.982        -0.530        -7.363         2.012        -7.393     93.24        -5.381         4.703         7.662       6.270       5.595       5.947       5.087       7.037       8.838       4.263
  148   113.42400   23.84967         4.290         6.902         4.014        11.055        -2.752     45.57         8.303         6.903        11.392       2.176       3.989       7.311       6.100       4.812       7.808       3.866
  149   114.61500   25.45000        -8.230         3.210         2.161         3.072        -9.142     15.85        -6.069         6.107         9.644       4.960       2.544       2.608       3.318       4.070       5.729       2.363
  150   114.31300   24.85233        -5.903         3.163         1.702         2.846        -7.047     19.88        -4.201         4.946         7.599       6.452       3.153       2.350       4.355       4.797       6.852       3.042
  151   113.62167   26.93600         2.853         0.667         4.510         4.745         2.618     19.42         7.363         1.063         5.419       3.795       2.981       3.876       3.682       2.875       5.501       1.829
  152   114.91267   28.08300        -2.082        -3.562        -6.538        -0.109        -8.512    118.99        -8.620         4.201         8.512       9.464       4.821       7.107       5.626       8.904      12.301       4.200
  153   114.93867   27.18467        -3.333        -2.680         0.992         2.274        -4.614    154.45        -2.341         3.444         5.144      10.369       3.740       1.254       4.695       7.636      10.416       3.613
  154   115.58700   26.68833         0.590        -1.813         0.616         2.416        -1.210    135.21         1.207         1.813         2.702       4.051       1.689       1.144       2.197       2.860       4.103       1.515
  155   115.98600   27.26133         2.270        -0.838         2.042         3.001         1.311    131.12         4.312         0.845         3.275       4.963       2.673       3.025       3.811       3.253       5.973       1.907
  156   100.18367   31.90667       -29.781         2.272        34.590        34.670       -29.861      2.02         4.809        32.266        45.757       2.481       2.362       1.635       1.676       2.171       2.725       1.380
  157   104.90067   40.40467         5.007        -3.545        -3.730         6.264        -4.988    109.53         1.277         5.626         8.007       3.212       2.100       0.939       3.009       1.490       3.351       1.683
  158   105.34533   40.25700         2.887        -3.360        -3.933         4.264        -5.310    112.29        -1.046         4.787         6.810       1.696       1.135       0.950       1.298       1.100       1.804       0.796
  159   112.61633   30.34133        -0.697        -0.472        -0.487        -0.109        -1.075    141.30        -1.184         0.483         1.081       1.171       1.134       3.072       2.706       1.358       3.331       1.345
  160   110.55733   28.52700        -5.235         4.289         1.490         3.578        -7.323     25.95        -3.745         5.450         8.150       7.226       3.484       3.083       4.597       4.968       7.630       2.890
